날짜,글 제목,게시글 URL,댓글,조회수,쪽지 수량,작업자
2026-02-20,첫 코 잘하는 병원 추천해주세요:),https://cafe.naver.com/feko/10422083,,,,박민정 매니저
2026-02-20,쌍수 병원 추천해주세요!!,https://cafe.naver.com/fox5282/4697469,,,,박민정 매니저
2026-02-20,자연스럽게 쌍수 잘하는 곳 어디가 괜찮을까요?,https://cafe.naver.com/feko/10422011,,,,고서진 팀장
2026-02-19,무보형물 코수술 잘하는 곳 찾고 있어요,https://cafe.naver.com/feko/10419563,10,29,,고서진 팀장
2026-02-19,상담 가기 전에 미리 체크해 볼 점 있을까요?,https://cafe.naver.com/feko/10419261,1,14,,고서진 팀장
2026-02-19,"에이비, 일미리, 라라, 드레스 실력 좋으신 원장님 알려주세용!!",https://cafe.naver.com/feko/10418999,2,6,,박민정 매니저
2026-02-13,쌍수 병원 찾는중 도와주세용😭,https://cafe.naver.com/feko/10409337,20,48,,박민정 매니저
2026-02-11,,https://cafe.naver.com/feko/10401790,0,0,,고서진 팀장
2026-02-11,"설 연휴 전에 수술 잡은 사람 있어요???(라라 상담 받고 내일 수술,,,,)",https://cafe.naver.com/feko/10401509,5,17,,고서진 팀장
2026-02-11,,https://cafe.naver.com/feko/10400979,0,0,,박민정 매니저
2026-02-11,,https://cafe.naver.com/feko/10400824,0,0,,박민정 매니저
2026-02-10,,https://cafe.naver.com/feko/10397293,0,0,,박민정 매니저
2026-02-09,,,,,,
2026-02-09,,https://cafe.naver.com/feko/10392722,0,0,,박민정 매니저
2026-02-06,,https://cafe.naver.com/feko/10387871,0,0,,고서진 팀장
2026-02-06,,https://cafe.naver.com/feko/10386185,0,0,,박민정 매니저
2026-02-05,눈밑지방재배치 격막강화 병원 정보 궁금해요,https://cafe.naver.com/feko/10384183,2,29,,박민정 매니저
2026-02-03,눈밑지방재배치 통증 어떤가요 참을 만한가요?,https://cafe.naver.com/feko/10373936,1,9,,박민정 매니저
2026-01-27,눈재수술 어디가 잘해요? 소세지눈 고민,https://cafe.naver.com/feko/10347761,16,127,,고서진 팀장
