날짜,글 제목,게시글 URL,댓글,조회수,쪽지 수량,작업자
2026-02-19,병원 상담 다시 마음 잡고 움직여보려고 합니다,https://daedamo.com/graft/612689,,,,고서진 팀장
2026-02-12, 여자라 헤어라인 디자인이 중요하거든요,https://daedamo.com/hairline/49953,,,,김예지 매니저
2026-02-11,경력 탄탄하면서 원장님 소수인 병원,https://daedamo.com/story/2024730,,,,고서진 팀장
2026-02-09,연휴 전에 상담 받아보려고 합니다,https://daedamo.com/graft/611663,,,,김예지 매니저
2026-02-06,암흑기라 더 신경 쓰이는 요즘입니다,https://daedamo.com/graft/611514,,,,김예지 매니저
2026-02-05,[고민상담] M자 초기에 이식하면 과한 선택일까요?,https://daedamo.com/story/2024261,,,,고서진 팀장
2026-02-04,모발이 가늘고 헤어라인이 삐뚤빼뚤해요,https://daedamo.com/hairline/49816,,,,김예지 매니저
2026-02-03,이젠 앞머리로 가리는 것도 한계가 있습니다ㅠㅠ,,,,,김예지 매니저
2026-01-30,20대 정수리 탈모…연휴 전 모발이식 수술 결정했어요,https://daedamo.com/story/2023733,,,,고서진 팀장
2026-01-29,넓은 이마 콤플렉스 이마축소 모발이식으로 바꿔보려고요,https://daedamo.com/graft/610602,,,,김예지 매니저
2026-01-26,모발이식 수술 날짜 정했습니다,https://daedamo.com/graft/609970,,,,김예지 매니저
2026-01-23,모발이식 가장 큰 이유?,https://daedamo.com/story/2023075,,,,고서진 팀장
2026-01-22,이제 직접 상담 가는 일만 남았어요,https://daedamo.com/graft/609611,,,,김예지 매니저
2026-01-19,모발이식 병원 추리기 너무 어렵습니다 ,https://daedamo.com/story/2022747,,,,고서진 팀장
2026-01-16,다음주에 이마축소 모발이식 받아요,https://daedamo.com/graft/608936,,,,김예지 매니저
2026-01-15,40대 탈모 모발이식 고민입니다,https://daedamo.com/story/2022554,,,,고서진 팀장
2026-01-15,모발이식 상담 앞두고 있습니다,https://daedamo.com/graft/608869,,,,김예지 매니저
2026-01-09,아이 준비 때문에 탈모약 중단했는데 빠진 머리가 안 돌아오네요 (모발이식 고민),https://daedamo.com/story/2021973,,,,고서진 팀장
2026-01-08,모발 이식 상담 병원,https://daedamo.com/story/2021916,,,,고서진 팀장
2026-01-08,모발이식할 때 모낭 분리사 중요한가요?,https://daedamo.com/graft/608072,,,,김예지 매니저
2025-12-29,m자 모발이식하면 언제까지 티가 나나요??,https://daedamo.com/graft/606971,175,3,,김예지 매니저
2025-12-26,모발이식 받은 후 관리 방법 함께 공유해요,https://daedamo.com/graft/606760,200,7,,고서진 팀장
2025-12-24,나이는 어리지만 헤어라인 수술 하고 싶은 이유ㅠ,https://daedamo.com/hairline/49101,136,8,,김예지 매니저
2025-12-24,모발이식 이제 알아보기 시작했어요 ,https://daedamo.com/story/2020456,201,12,,고서진 팀장
2025-12-22,이마축소 수술 후 흉터 때문에 모발이식 고민하시는 분 계신가요?,https://daedamo.com/graft/606273,122,3,,고서진 팀장
2025-12-19,26살 정수리 탈모… 취업 전에 모발이식 고민 중입니다,https://daedamo.com/story/2019586,237,6,,고서진 팀장
2025-12-18,남편한테 애 맡기고 상담 가요,https://daedamo.com/graft/605799,139,5,,김예지 매니저
2025-12-16,1년째 고민만 하다 다시 모발이식 알아보는 중입니다,https://daedamo.com/story/2019218,23,6,,고서진 팀장
2025-12-11,37살 남자입니다… 약 먹고 있는데 M자가 깊어지네요 모발이식 고민됩니다,https://daedamo.com/story/2018623,376,5,,고서진 팀장
2025-12-11,01년생 여잔데요 ㅠㅠ M자 탈모가 있어요 ,https://daedamo.com/story/2018607,254,6,,고서진 팀장
2025-12-11, 정수리는 생착이 어렵다는 말이 있는데 사실인가요?,https://daedamo.com/story/2018601,204,4,,김예지 매니저
2025-12-10,[고민상담] 26살 정수리 탈모... 병원 3곳 고민 중인데 조언 부탁드립니다,https://daedamo.com/story/2018491,191,4,,고서진 팀장
2025-12-10,모발이식 상담 받으려고 몇곳 전화 예약 해뒀음요,https://daedamo.com/story/2018461,206,6,,김예지 매니저
2025-12-09,모발이식 병원 알아보고 있어요 ,https://daedamo.com/story/2018398,271,2,,고서진 팀장
2025-12-08,서진성형외과 수술 예약 잡고 왔습니다 ,https://daedamo.com/graft/604699,198,6,,고서진 팀장
2025-12-04,넓어 보이는 이마 헤어라인 수술로 보완이 될까용??,https://daedamo.com/story/2017937,221,9,,김예지 매니저
2025-12-03,아이 키우는 엄마인데 모발이식 받기에 괜찮을까요?,https://daedamo.com/story/2017812,210,7,,김예지 매니저
